LOCATION,TYPE,UNIT,AMOUNT,YEAR
ABERNETHY PRIMARY SCHOOL,OIL,KWH,16025.493246252037,2000/01
ABERNETHY PRIMARY SCHOOL,OIL,£,358.78082677749734,2000/01
ABERNETHY PRIMARY SCHOOL,OIL,£/KWH,0.02238813004157655,2000/01
ALNESS ACADEMY,OIL,KWH,111999.39689272875,2000/01
ALNESS ACADEMY,OIL,£,2387.4587359889892,2000/01
ALNESS ACADEMY,OIL,£/KWH,0.021316710645108736,2000/01
ALTNAHARRA PRIMARY SCHOOL,OIL,KWH,497.57598784194494,2000/01
ALTNAHARRA PRIMARY SCHOOL,OIL,£,20.67223910840931,2000/01
ALTNAHARRA PRIMARY SCHOOL,OIL,£/KWH,0.04154589371980677,2000/01
ARISAIG RC PRIMARY SCHOOL,OIL,KWH,273.94934115706195,2000/01
ARISAIG RC PRIMARY SCHOOL,OIL,£,13.062222208793237,2000/01
ARISAIG RC PRIMARY SCHOOL,OIL,£/KWH,0.04768115942028983,2000/01
AVOCH PRIMARY SCHOOL,OIL,KWH,14492.703262672136,2000/01
AVOCH PRIMARY SCHOOL,OIL,£,347.5641478367452,2000/01
AVOCH PRIMARY SCHOOL,OIL,£/KWH,0.023982009535235733,2000/01
BANAVIE PRIMARY SCHOOL,OIL,KWH,23786.166231176612,2000/01
BANAVIE PRIMARY SCHOOL,OIL,£,565.052551972714,2000/01
BANAVIE PRIMARY SCHOOL,OIL,£/KWH,0.023755511774406823,2000/01
BEAULY PRIMARY SCHOOL,OIL,KWH,693.4217248584339,2000/01
BEAULY PRIMARY SCHOOL,OIL,£,28.33984440725774,2000/01
BEAULY PRIMARY SCHOOL,OIL,£/KWH,0.04086956521739132,2000/01
BLACK ISLE CENTRE RADDERY SCHOOL,OIL,KWH,120690.24304812828,2000/01
BLACK ISLE CENTRE RADDERY SCHOOL,OIL,£,2799.9491978609626,2000/01
BLACK ISLE CENTRE RADDERY SCHOOL,OIL,£/KWH,0.023199466064082845,2000/01
BRIDGEND PRIMARY SCHOOL,OIL,KWH,23805.86172497297,2000/01
BRIDGEND PRIMARY SCHOOL,OIL,£,565.8575516583154,2000/01
BRIDGEND PRIMARY SCHOOL,OIL,£/KWH,0.02376967312486387,2000/01
BROADFORD PRIMARY SCHOOL,OIL,KWH,554.3303812985486,2000/01
BROADFORD PRIMARY SCHOOL,OIL,£,19.682745422919492,2000/01
BROADFORD PRIMARY SCHOOL,OIL,£/KWH,0.03550724637681162,2000/01
CASTLETOWN PRIMARY SCHOOL,OIL,KWH,1658.9745388230333,2000/01
CASTLETOWN PRIMARY SCHOOL,OIL,£,67.80156810841964,2000/01
CASTLETOWN PRIMARY SCHOOL,OIL,£/KWH,0.04086956521739132,2000/01
CENTRAL PRIMARY SCHOOL,OIL,KWH,10867.5,2000/01
CENTRAL PRIMARY SCHOOL,OIL,£,249.46366666666677,2000/01
CENTRAL PRIMARY SCHOOL,OIL,£/KWH,0.022955018786902853,2000/01
COULHILL PRIMARY SCHOOL,OIL,KWH,1388.1684309804725,2000/01
COULHILL PRIMARY SCHOOL,OIL,£,55.15790021649463,2000/01
COULHILL PRIMARY SCHOOL,OIL,£/KWH,0.03973429951690822,2000/01
CRADLEHALL PRIMARY SCHOOL,OIL,KWH,8144.61521757083,2000/01
CRADLEHALL PRIMARY SCHOOL,OIL,£,179.97716541316586,2000/01
CRADLEHALL PRIMARY SCHOOL,OIL,£/KWH,0.022097687933113296,2000/01
CRAIGHILL PRIMARY SCHOOL,OIL,KWH,29793.876424384922,2000/01
CRAIGHILL PRIMARY SCHOOL,OIL,£,648.2268096162608,2000/01
CRAIGHILL PRIMARY SCHOOL,OIL,£/KWH,0.021757048340501167,2000/01
CULLODEN ACADEMY,OIL,KWH,55820.558867897416,2000/01
CULLODEN ACADEMY,OIL,£,1372.8081289658312,2000/01
CULLODEN ACADEMY,OIL,£/KWH,0.024593235123544017,2000/01
DINGWALL PRIMARY SCHOOL,OIL,KWH,1354.8858111015486,2000/01
DINGWALL PRIMARY SCHOOL,OIL,£,66.76248924268502,2000/01
DINGWALL PRIMARY SCHOOL,OIL,£/KWH,0.049275362318840596,2000/01
DUNCAN FORBES PRIMARY SCHOOL,OIL,KWH,831.9228263562428,2000/01
DUNCAN FORBES PRIMARY SCHOOL,OIL,£,34.00032420760295,2000/01
DUNCAN FORBES PRIMARY SCHOOL,OIL,£/KWH,0.04086956521739128,2000/01
DURNESS PRIMARY SCHOOL,OIL,KWH,657.1924748492162,2000/01
DURNESS PRIMARY SCHOOL,OIL,£,26.033711564075237,2000/01
DURNESS PRIMARY SCHOOL,OIL,£/KWH,0.03961352657004832,2000/01
EDDERTON PRIMARY SCHOOL,OIL,KWH,9071.110913264243,2000/01
EDDERTON PRIMARY SCHOOL,OIL,£,200.29966814547788,2000/01
EDDERTON PRIMARY SCHOOL,OIL,£/KWH,0.02208105160004046,2000/01
ELGIN RESIDENCE,OIL,KWH,22428.931220705417,2000/01
ELGIN RESIDENCE,OIL,£,486.5555868221491,2000/01
ELGIN RESIDENCE,OIL,£/KWH,0.021693213200144914,2000/01
FERINTOSH PRIMARY SCHOOL,OIL,KWH,829.1231653228878,2000/01
FERINTOSH PRIMARY SCHOOL,OIL,£,33.885903278413686,2000/01
FERINTOSH PRIMARY SCHOOL,OIL,£/KWH,0.04086956521739132,2000/01
FORTROSE ACADEMY,OIL,KWH,62830.65910474519,2000/01
FORTROSE ACADEMY,OIL,£,1336.0017199330634,2000/01
FORTROSE ACADEMY,OIL,£/KWH,0.021263531832537534,2000/01
GLENURQUHART PRIMARY SCHOOL,OIL,KWH,16217.986770166408,2000/01
GLENURQUHART PRIMARY SCHOOL,OIL,£,357.4754442797548,2000/01
GLENURQUHART PRIMARY SCHOOL,OIL,£/KWH,0.0220419124362183,2000/01
GOLSPIE HIGH SCHOOL,OIL,KWH,55272.915532207444,2000/01
GOLSPIE HIGH SCHOOL,OIL,£,1203.104359432247,2000/01
GOLSPIE HIGH SCHOOL,OIL,£/KWH,0.021766616576091413,2000/01
GOLSPIE PRIMARY SCHOOL,OIL,KWH,8420.231205548249,2000/01
GOLSPIE PRIMARY SCHOOL,OIL,£,204.73960714950437,2000/01
GOLSPIE PRIMARY SCHOOL,OIL,£/KWH,0.024315200159182992,2000/01
GRANTOWN GRAMMAR SCHOOL,OIL,KWH,73185.11193516325,2000/01
GRANTOWN GRAMMAR SCHOOL,OIL,£,1584.3050385095703,2000/01
GRANTOWN GRAMMAR SCHOOL,OIL,£/KWH,0.021647914399764132,2000/01
GRANTOWN PRIMARY SCHOOL,OIL,KWH,27258.62543339158,2000/01
GRANTOWN PRIMARY SCHOOL,OIL,£,627.5934353643449,2000/01
GRANTOWN PRIMARY SCHOOL,OIL,£/KWH,0.02302366408379303,2000/01
HALKIRK PRIMARY SCHOOL,OIL,KWH,13185.371538355554,2000/01
HALKIRK PRIMARY SCHOOL,OIL,£,318.4241686134032,2000/01
HALKIRK PRIMARY SCHOOL,OIL,£/KWH,0.024149806297617326,2000/01
HELMSDALE PRIMARY SCHOOL,OIL,KWH,13456.467677989704,2000/01
HELMSDALE PRIMARY SCHOOL,OIL,£,330.7643166946517,2000/01
HELMSDALE PRIMARY SCHOOL,OIL,£/KWH,0.024580322608411708,2000/01
HILTON PRIMARY SCHOOL FEARN,OIL,KWH,10004.44989973557,2000/01
HILTON PRIMARY SCHOOL FEARN,OIL,£,253.87522646473803,2000/01
HILTON PRIMARY SCHOOL FEARN,OIL,£/KWH,0.02537623047834427,2000/01
HILTON PRIMARY SCHOOL INV,OIL,KWH,96831.83999999998,2000/01
HILTON PRIMARY SCHOOL INV,OIL,£,2034.797333333332,2000/01
HILTON PRIMARY SCHOOL INV,OIL,£/KWH,0.021013721657394225,2000/01
INVERGORDON ACADEMY,OIL,KWH,3323.287743711292,2000/01
INVERGORDON ACADEMY,OIL,£,135.82145913296117,2000/01
INVERGORDON ACADEMY,OIL,£/KWH,0.04086960552542529,2000/01
INVERLOCHY PRIMARY SCHOOL,OIL,KWH,5087.0351476467695,2000/01
INVERLOCHY PRIMARY SCHOOL,OIL,£,134.10958139657816,2000/01
INVERLOCHY PRIMARY SCHOOL,OIL,£/KWH,0.026363014507304203,2000/01
INVERNESS HIGH SCHOOL,OIL,KWH,1107.6043502295147,2000/01
INVERNESS HIGH SCHOOL,OIL,£,45.26730822677142,2000/01
INVERNESS HIGH SCHOOL,OIL,£/KWH,0.04086956521739126,2000/01
KILCHUIMEN ACADEMY,OIL,KWH,25958.443858430794,2000/01
KILCHUIMEN ACADEMY,OIL,£,618.9536475474614,2000/01
KILCHUIMEN ACADEMY,OIL,£/KWH,0.02384401973103782,2000/01
KILMUIR PRIMARY SCHOOL,OIL,KWH,39425.60240963854,2000/01
KILMUIR PRIMARY SCHOOL,OIL,£,864.6587424698796,2000/01
KILMUIR PRIMARY SCHOOL,OIL,£/KWH,0.02193140217582301,2000/01
KILTEARN PRIMARY SCHOOL,OIL,KWH,22116.75271889345,2000/01
KILTEARN PRIMARY SCHOOL,OIL,£,444.95606764173243,2000/01
KILTEARN PRIMARY SCHOOL,OIL,£/KWH,0.020118508051212437,2000/01
KINGUSSIE HIGH SCHOOL,OIL,KWH,20411.769813906678,2000/01
KINGUSSIE HIGH SCHOOL,OIL,£,489.76982427850476,2000/01
KINGUSSIE HIGH SCHOOL,OIL,£/KWH,0.02399448106380375,2000/01
KINGUSSIE PRIMARY SCHOOL,OIL,KWH,28831.928610077688,2000/01
KINGUSSIE PRIMARY SCHOOL,OIL,£,629.1334870429415,2000/01
KINGUSSIE PRIMARY SCHOOL,OIL,£/KWH,0.021820721587907897,2000/01
KINMYLIES PRIMARY SCHOOL,OIL,KWH,19595.75272558031,2000/01
KINMYLIES PRIMARY SCHOOL,OIL,£,426.67921996625734,2000/01
KINMYLIES PRIMARY SCHOOL,OIL,£/KWH,0.021774066347003344,2000/01
LOCHABER HIGH SCHOOL,OIL,KWH,168747.40559909007,2000/01
LOCHABER HIGH SCHOOL,OIL,£,3591.091456775438,2000/01
LOCHABER HIGH SCHOOL,OIL,£/KWH,0.021280869143002708,2000/01
LOCHARDIL PRIMARY SCHOOL,OIL,KWH,2206.958664861328,2000/01
LOCHARDIL PRIMARY SCHOOL,OIL,£,92.70292556023787,2000/01
LOCHARDIL PRIMARY SCHOOL,OIL,£/KWH,0.04200483091787438,2000/01
LOCHCARRON PRIMARY SCHOOL,OIL,KWH,621.7479441027691,2000/01
LOCHCARRON PRIMARY SCHOOL,OIL,£,23.338168490573512,2000/01
LOCHCARRON PRIMARY SCHOOL,OIL,£/KWH,0.037536382246108294,2000/01
LOCHINVER PRIMARY SCHOOL,OIL,KWH,1109.2304351416583,2000/01
LOCHINVER PRIMARY SCHOOL,OIL,£,45.33376561013731,2000/01
LOCHINVER PRIMARY SCHOOL,OIL,£/KWH,0.04086956521739128,2000/01
LYBSTER PRIMARY SCHOOL,OIL,KWH,20084.882206764007,2000/01
LYBSTER PRIMARY SCHOOL,OIL,£,476.4100698996304,2000/01
LYBSTER PRIMARY SCHOOL,OIL,£/KWH,0.0237198339026947,2000/01
MALLAIG PRIMARY SCHOOL,OIL,KWH,9282.254364009854,2000/01
MALLAIG PRIMARY SCHOOL,OIL,£,203.25679256747344,2000/01
MALLAIG PRIMARY SCHOOL,OIL,£/KWH,0.021897352151387096,2000/01
MELVICH PRIMARY SCHOOL,OIL,KWH,832.0449797034596,2000/01
MELVICH PRIMARY SCHOOL,OIL,£,34.00531656179355,2000/01
MELVICH PRIMARY SCHOOL,OIL,£/KWH,0.04086956521739128,2000/01
MILLBANK PRIMARY SCHOOL,OIL,KWH,1663.9677970923167,2000/01
MILLBANK PRIMARY SCHOOL,OIL,£,57.877140768428426,2000/01
MILLBANK PRIMARY SCHOOL,OIL,£/KWH,0.03478260869565219,2000/01
MILLER ACADEMY PRIMARY SCHOOL,OIL,KWH,10560.872254404097,2000/01
MILLER ACADEMY PRIMARY SCHOOL,OIL,£,264.7442573539067,2000/01
MILLER ACADEMY PRIMARY SCHOOL,OIL,£/KWH,0.025068408269355115,2000/01
MILTON PRIMARY SCHOOL,OIL,KWH,1361.365351982311,2000/01
MILTON PRIMARY SCHOOL,OIL,£,60.27486471525931,2000/01
MILTON PRIMARY SCHOOL,OIL,£/KWH,0.0442753039274078,2000/01
MOUNT PLEASANT PRIMARY SCHOOL,OIL,KWH,52193.659607003596,2000/01
MOUNT PLEASANT PRIMARY SCHOOL,OIL,£,1106.1025134439433,2000/01
MOUNT PLEASANT PRIMARY SCHOOL,OIL,£/KWH,0.021192277410176485,2000/01
MULBUIE PRIMARY SCHOOL,OIL,KWH,29534.69665313565,2000/01
MULBUIE PRIMARY SCHOOL,OIL,£,636.7092221974101,2000/01
