,Location,Type,Amount,Year
0,Abernethy Primary School,Oil kWh,16025.493246252037,2000/01
1,Alness Academy ( Old ),Oil kWh,111999.39689272875,2000/01
2,Altnaharra Primary School (Mothballed),Oil kWh,497.57598784194494,2000/01
3,Arisaig RC Primary School,Oil kWh,273.94934115706195,2000/01
4,Avoch Primary School,Oil kWh,14492.703262672136,2000/01
5,Banavie Primary School,Oil kWh,23786.166231176612,2000/01
6,Beauly Primary School,Oil kWh,693.4217248584339,2000/01
7,Black Isle Centre Raddery School,Oil kWh,120690.24304812828,2000/01
8,Bridgend Primary School,Oil kWh,23805.86172497297,2000/01
9,Broadford Primary School,Oil kWh,554.3303812985486,2000/01
10,Castletown Primary School,Oil kWh,1658.9745388230333,2000/01
11,Central Primary School,Oil kWh,10867.5,2000/01
12,Coulhill Primary School,Oil kWh,1388.1684309804725,2000/01
13,Cradlehall Primary School,Oil kWh,8144.61521757083,2000/01
14,Craighill Primary School,Oil kWh,29793.876424384922,2000/01
15,Culloden Academy,Oil kWh,55820.558867897416,2000/01
16,Dingwall Primary School,Oil kWh,1354.8858111015486,2000/01
17,Duncan Forbes Primary School,Oil kWh,831.9228263562428,2000/01
18,Durness Primary School,Oil kWh,657.1924748492162,2000/01
19,Edderton Primary School,Oil kWh,9071.110913264243,2000/01
20,Elgin Hostel ,Oil kWh,22428.931220705417,2000/01
21,Ferintosh Primary School,Oil kWh,829.1231653228878,2000/01
22,Fortrose Academy,Oil kWh,62830.65910474519,2000/01
23,Glenurquhart Primary School,Oil kWh,16217.986770166408,2000/01
24,Golspie High School,Oil kWh,55272.915532207444,2000/01
25,Golspie Primary School,Oil kWh,8420.231205548249,2000/01
26,Grantown Grammar School,Oil kWh,73185.11193516325,2000/01
27,Grantown Primary School,Oil kWh,27258.62543339158,2000/01
28,Halkirk Primary School,Oil kWh,13185.371538355554,2000/01
29,Helmsdale Primary School,Oil kWh,13456.467677989704,2000/01
30,Hilton Primary School (Fearn),Oil kWh,10004.44989973557,2000/01
31,Hilton Primary School (Inv.),Oil kWh,96831.83999999998,2000/01
32,Invergordon Academy,Oil kWh,3323.287743711292,2000/01
33,Inverlochy Primary School,Oil kWh,5087.0351476467695,2000/01
34,Inverness High School,Oil kWh,1107.6043502295147,2000/01
35,Kilchuimen Academy,Oil kWh,25958.443858430794,2000/01
36,Kilmuir Primary School,Oil kWh,39425.60240963854,2000/01
37,Kiltearn Primary School,Oil kWh,22116.75271889345,2000/01
38,Kingussie High School,Oil kWh,20411.769813906678,2000/01
